,Unnamed: 0,artist,city,venue,showName,genre,weekend,month,maxprice,minprice,id,score,pop
947,Vance Joy12,Vance Joy,Saskatoon,TCU Place,Vance Joy - Official Platinum,Folk,0,2,69.5,69.5,G5v7Z9G591U4x,75,741636.0
948,Vance Joy13,Vance Joy,Calgary,Jack Singer Concert Hall at Arts Commons,Vance Joy - Official Platinum,Folk,0,2,75.0,75.0,G5v7Z9G_c6o2K,75,8855000.0
949,Vance Joy14,Vance Joy,Calgary,Jack Singer Concert Hall at Arts Commons,Vance Joy - Official Platinum,Folk,0,2,75.0,75.0,G5v7Z9G_c1v2_,75,3308.0
950,Vance Joy15,Vance Joy,Dublin,St Annes Park,Lumineers + Special Guest Sigrid + Vance Joy,Rock,0,6,49.9,49.9,G5vOZ9pNGCg5N,75,712391.0
951,Vance Joy16,Vance Joy,Boston,MGM Music Hall at Fenway,Vance Joy: In Our Own Sweet Time Tour 2023,Folk,0,2,62.0,32.0,vvG17Z959KCnzX,75,25237.0
952,Vance Joy17,Vance Joy,Seattle,Paramount Theatre,Vance Joy - In Our Own Sweet Time Tour,Folk,0,3,45.7,45.7,vvG1HZ95JIQ3KX,75,25237.0
953,Vance Joy18,Vance Joy,Washington,The Anthem,Vance Joy: In Our Own Sweet Time Tour 2023,Folk,1,3,95.0,55.0,G5vfZ95nwcSg3,75,25237.0
954,Vance Joy19,Vance Joy,Austin,Austin City Limits Live at The Moody Theater,Vance Joy: In Our Sweet Time Tour 2023,Folk,0,3,75.0,39.0,G5dIZ9G58Dk-T,75,25237.0
955,Burna Boy0,Burna Boy,London,London Stadium,Burna Boy,Hip-Hop/Rap,1,6,140.65,39.4,G5dfZ99hjdzIb,81,25237.0
956,U22,U2,Milwaukee,Shank Hall,U2 Zoo Milwaukee’s U2 tribute band,Rock,0,3,12.0,12.0,rZ7HnEZ1A3GNF4,77,25237.0
957,U25,U2,Pawling,Daryl's House,Unforgettable Fire: Tribute to U2 (Night One),Rock,0,3,40.0,25.0,rZ7HnEZ1A3Ao-P,77,25237.0
958,U26,U2,Pawling,Daryl's House,Unforgettable Fire: Tribute to U2 (Night Two),Rock,1,4,40.0,25.0,rZ7HnEZ1A3Ao-g,77,25237.0
959,U210,U2,New York,Cutting Room,St. Patrick's Day Show with U2 Tribute: Unforgettable Fire,Pop,0,3,55.0,29.99,rZ7HnEZ1A3bf8g,77,25237.0
960,Daft Punk1,Daft Punk,San Diego,Music Box,One More Time (A Tribute To Daft Punk),Dance/Electronic,0,1,18.0,18.0,rZ7HnEZ1A348uP,80,25237.0
961,Cigarettes After Sex0,Cigarettes After Sex,México,Pepsi Center WTC,Cigarettes After Sex,Pop,0,3,1700.0,750.0,G5v8Z99Qbmv1z,82,25237.0
962,WILLOW0,WILLOW,New York,Florence Gould Hall at FIAF,"FIAF's Animation First Festival: Blind Willow, Sleeping Woman",Miscellaneous,1,1,16.0,16.0,vvG1GZ9b1ciARE,75,25237.0
